"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr2118","South East Scotland Tetrad Atlas 2007 - 2013 - non-sensitive winter species","10.15468/28drbf","Murray, R.D., Andrews, I.J. & Holling, M. 2019. Birds in South-east Scotland 2007-13: a tetrad atlas of the birds of Lothian and Borders. The Scottish Ornithologists’ Club, Aberlady.","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2118","","","","22"
"dr1827","Calf of Man (Isle of Man) Bird Observatory Daily Logs, 1959-67, 1969-81","doi:10.15468/rzpbo5","Manx National Heritage Library and Archives ([Insert download year]). Calf of Man (Isle of Man) Bird Observatory Daily Logs, 1959-67, 1969-81. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1827","","","","3"
"dp159","Greater Manchester Ecology Unit","","Records provided by Greater Manchester Ecology Unit, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp159","","","","5"
"dr856","City of Edinburgh Natural Heritage Service - Historical Records","doi:10.15468/zwsdui","The Wildlife Information Centre ([Insert download year]).  City of Edinburgh Natural Heritage Service - Historical Records. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information:  email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr856","","","","2"
"dr855","All taxa records for Leicestershire and Rutland","doi:10.15468/i46are","Records provided by All taxa records for Leicestershire and Rutland, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr855","","","","462"
"dr1155","Natural Resources Wales Regional Data : Mid-Wales","doi:10.15468/whj6d7","Natural Resources Wales Regional Data : Mid-Wales, BIS (2020)","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr1155","","Additional information is available from BIS – www.bis.org.uk. This dataset contains sensitive species records which may only be made available at full resolution under licence to approved individuals and organisations following a request to BIS. It is provided under strict confidentiality terms.","","44"
"dr1277","South East Scotland Tetrad Atlas 1988 - 1994 - non-sensitive breeding species","doi:10.15468/ofiznf","Records provided by South East Scotland Tetrad Atlas 1988 - 1994 - non-sensitive breeding species, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1277","","","","8"
"dr1156","BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991.","doi:10.15468/cisnhd","Records provided by BTO Second Atlas of Breeding Birds in Britain and Ireland: 1988-1991., accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1156","","","","130"
"dr1395","Fife non-breeding bird 5km atlas 1991-99","doi:10.15468/rnxyvi","Records provided by Fife non-breeding bird 5km atlas 1991-99, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1395","","","","98"
"dr2007","Fife Nature Records Centre combined dataset 2018/19","10.15468/qbg6jf","Fife Nature Records Centre combined dataset 2018/19 (2019)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2007","","","","13"
"dp101","Cambridgeshire & Peterborough Environmental Records Centre","","Records provided by Cambridgeshire & Peterborough Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email data@cperc.org.uk, or https://registry.nbnatlas.org/public/show/dp101","","","","1961"
"dr1399","SER Site-based Surveys","doi:10.15468/h2yko0","Records provided by SER Site-based Surveys, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1399","","","","11"
"dr1311","Tullie House Museum Natural History Collections","doi:10.15468/epewfs","Records provided by Tullie House Museum Natural History Collections, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nature@tulliehouse.co.uk, or https://registry.nbnatlas.org/public/show/dr1311","","","","5"
"dr1312","Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire","doi:10.15468/k6hvb8","Natural Resources Wales.  ([Insert year of download])  Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire. Occurrence dataset accessed through the NBNAtlas","Open Government Licence (OGL) © CNC/NRW
Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.","For more information:  https://registry.nbnatlas.org/public/show/dr1312","","","","15"
"dp102","Cumbria Biodiversity Data Centre","","Records provided by Cumbria Biodiversity Data Centre, accessed through NBN Atlas website.","","For more information:  email info@cbdc.org.uk, or https://registry.nbnatlas.org/public/show/dp102","","","","5"
"dp186","West Wales Biodiversity Information Centre","","Records provided by West Wales Biodiversity Information Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp186","","","","25"
"dr1954","CEDaR Online Recording","10.15468/ke4kw8","Records provided by CEDaR Online Recording, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr1954","","","","3"
"dr528","Birds (BTO+partners) to 2005","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr528","","","","14398"
"dp107","Bristol Regional Environmental Records Centre","","Records provided by Bristol Regional Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email dataenquiries@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dp107","","","","1146"
"dp109","Lancashire Environment Record Network","","Records provided by Lancashire Environment Record Network, accessed through NBN Atlas website.","","For more information:  email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dp109","","","","720"
"dr766","Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data","doi:10.15468/yyd4b9","Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data, SWT (2020)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr766","","","","5"
"dp103","Dorset Environmental Records Centre","","Records provided by Dorset Environmental Records Centre, accessed through NBN Atlas website.","","For more information:  email Enquiries@derc.org.uk, or https://registry.nbnatlas.org/public/show/dp103","","","","2"
"dr765","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","doi:10.15468/a6snhl","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data, SWT (2020)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr765","","","","208"
"dr2370","Birds (BTO/JNCC/RSPB partnership)","","Records provided by BTO, accessed through NBN Atlas website","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr2370","","","","25473"
"dr1281","Staffordshire Wildlife Trust Nature Reserves Inventory","doi:10.15468/vhdows","Records provided by Staffordshire Wildlife Trust Nature Reserves Inventory, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1281","","","","9"
"dr1287","NRW Regional Data: all taxa (excluding sensitive species), West Wales","doi:10.15468/q3d1hl","Records provided by NRW Regional Data: all taxa (excluding sensitive species), West Wales, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email Kate.jones@wwbic.org.uk, or https://registry.nbnatlas.org/public/show/dr1287","","","","9"
"dr1164","LERN Records","doi:10.15468/esxc9a","Records provided by LERN Records, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1164","","","","720"
"dp177","Rotherham Biological Records Centre","","Records provided by Rotherham Biological Records Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp177","","","","585"
"dr1842","iRecord Surveys","doi:10.15468/i7x5ca","Natural England iRecord Surveys ([year of download])","Open Government Licence (OGL) OGL 
      		Open Government Licence (OGL 3.0)","For more information:  https://registry.nbnatlas.org/public/show/dr1842","","","","3"
"dr1289","Bird records for Argyll for the years 2002 and 2003","doi:10.15468/uilybi","Records provided by Bird records for Argyll for the years 2002 and 2003, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email david.wood@snh.gov.uk, or https://registry.nbnatlas.org/public/show/dr1289","","","","113"
"dr478","RSPB Reserves breeding bird surveys","doi:10.15468/ssn1l9","Data reproduced with the permission of RSPB","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr478","","","","6"
"dr2417","British bird study skins in the collections of World Museum, National Museums Liverpool","10.15468/tekr68","World Museum, National Museums Liverpool (2020). British bird study skins in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2417","","","","9"
"dr1326","RECORD Aves Data","doi:10.15468/pudf3y","Records provided by RECORD Aves Data, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email enquiry@record-lrc.co.uk, or https://registry.nbnatlas.org/public/show/dr1326","","","","1216"
"dr915","Merseyside BioBank Active Naturalists (unverified)","doi:10.15468/smzyqf","Merseyside BioBank (2020) www.merseysidebiobank.org.uk","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Info@MerseysideBioBank.org.uk, or https://registry.nbnatlas.org/public/show/dr915","","","","13"
"dr755","NBIS Records to December 2016","doi:10.15468/jca5lo","Records provided by NBIS Records to December 2016, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr755","","","","2153"
"dr2380","Birds (BTO+partners) 2006 - 2010","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2380","","","","22816"
"dp96","BIS for Powys & Brecon Beacons National Park","","Records provided by BIS for Powys & Brecon Beacons National Park, accessed through NBN Atlas website.","","For more information:  email info@bis.org.uk, or https://registry.nbnatlas.org/public/show/dp96","","","","188"
"dr2381","Birds (BTO+partners) 2011 - 2015","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2381","","","","27183"
"dr2382","Birds (BTO+partners) 2016 - 2019","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2382","","","","33709"
"dr1574","ERIC NE Combined dataset to 2017","","Records provided by ERIC NE Combined dataset to 2017, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1574","","ERIC NE Data holdings metadata avaialble at http://www.ericnortheast.org.uk/geisha/assets/images/ERIC-NE-Species-metadata.2.pdf","","727"
"dr1178","Biodiversity in Glasgow (BiG) Project","doi:10.15468/dju9iz","Records provided by Biodiversity in Glasgow (BiG) Project, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  https://registry.nbnatlas.org/public/show/dr1178","","","","1"
"dp121","Suffolk Biodiversity Information Service","","Records provided by Suffolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information:  email martin.sanford@suffolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp121","","","","3853"
"dr1335","Gloucestershire Historic Wildlife Sightings prior to 1st Jan 2000","doi:10.15468/dgf5es","Records provided by Gloucestershire Historic Wildlife Sightings prior to 1st Jan 2000, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr1335","","","","54"
"dp242","World Museum, National Museums Liverpool","","Records provided by World Museum, National Museums Liverpool, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp242","","","","10"
"dp122","Natural Resources Wales","","Records provided by Natural Resources Wales, accessed through NBN Atlas website.","","For more information:  email nbnadmin@cyfoethnaturiolcymru.gov.uk, or https://registry.nbnatlas.org/public/show/dp122","","","","15"
"dp123","North East Scotland Biological Records Centre","","Records provided by North East Scotland Biological Records Centre, accessed through NBN Atlas website.","","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dp123","","","","533"
"dr780","Casual records for Scottish Wildlife Trust reserves - Verified data","doi:10.15468/zeay1d","Casual records for Scottish Wildlife Trust reserves - Verified data (2020)","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr780","","","","2"
"dr782","Shropshire Ecological Data Network database","doi:10.15468/5v5pvk","Shropshire Ecological Data Network ([Insert download year]). Shropshire Ecological Data Network database. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email alex.lockton@gmail.com, or https://registry.nbnatlas.org/public/show/dr782","","","","24"
"dr1216","Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups","doi:10.15468/d3tufo","Records provided by Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Paul.Leonard@rotherham.gov.uk, or https://registry.nbnatlas.org/public/show/dr1216","","","","585"
"dp120","Shropshire Ecological Data Network","","Records provided by Shropshire Ecological Data Network, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp120","","","","24"
"dr1613","Isle of Man historical wildlife records 1990 to 1994","doi:10.15468/aru16v","Records provided by Isle of Man historical wildlife records 1990 to 1994, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1613","Specific surveys carried out during this period include Phase 1 Habitat, Road Verge, Ramsey Estuary, Ayres Pitfall, LSG Exotics, Calf of Man Sublittoral Survey.  Data also comes from several  collections such as lizards and moths and casual records.
The majority of records have a full date.","Please refer to the websites of the three main partner organistions: Manx Wildlife Trust http://www.manxwt.org.uk/; Manx National Heritage http://www.manxnationalheritage.im/; Department of Environment, Food and Agriculture https://www.gov.im/about-the-government/departments/environment-food-and-agriculture/wildlife/.  See also  http://www.manxbiodiversity.org/","","2"
"dr703","Dorset SSSI Species Records 1952 - 2004 (Natural England)","doi:10.15468/vcjzts","Records provided by Dorset SSSI Species Records 1952 - 2004 (Natural England), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email derc@dorsetcc.gov.uk , or https://registry.nbnatlas.org/public/show/dr703","","","","2"
"dr947","Bird Records held by Greater Manchester Ecology Unit","","Records provided by Bird Records held by Greater Manchester Ecology Unit, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email suzanne.waymont@tameside.gov.uk, or https://registry.nbnatlas.org/public/show/dr947","","","","5"
"dp126","South East Wales Biodiversity Records Centre","","Records provided by South East Wales Biodiversity Records Centre, accessed through NBN Atlas website.","","For more information:  email info@sewbrec.org.uk, or https://registry.nbnatlas.org/public/show/dp126","","","","3319"
"dr938","BRERC species records from all years at full resolution excluding Notable Species within the last 10 years","doi:10.15468/h1ln5p","Bristol Regional Environmental Records Centre ([Insert download year]). BEREC species records from all years at full resolution excluding Notable Species within the last 10 years. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) BRERC retains copyright. The data is provided via the NBN Atlas for non-commercial purposes.","For more information:  email info@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dr938","","","","576"
"dp83","Natural England","","Records provided by Natural England, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp83","","","","3"
"dr1189","Brecknock county birds records","doi:10.15468/2rd8nh","Records provided by Brecknock county birds records, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email janet@bis.org.uk, or https://registry.nbnatlas.org/public/show/dr1189","","","","89"
"dp199","Environmental Records Information Centre North East","","Records provided by Environmental Records Information Centre North East, accessed through NBN Atlas website.","","For more information:  email eric.ne@twmuseums.org.uk, or https://registry.nbnatlas.org/public/show/dp199","","","","727"
"dp111","Merseyside BioBank","","Records provided by Merseyside BioBank, accessed through NBN Atlas website.","","For more information:  email info@merseysidebiobank.org.uk, or https://registry.nbnatlas.org/public/show/dp111","","","","392"
"dp112","Isle of Wight Local Records Centre","","Records provided by Isle of Wight Local Records Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp112","","","","168"
"dp113","Ministry of Justice","","Records provided by Ministry of Justice, accessed through NBN Atlas website.","","For more information:  email Beatrice.finch@justice.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dp113","","","","1"
