Column Name,Description
mainheatcontrol_average,Number of EPCs with Main Heating Controls Rating of Average
mainheatcontrol_poor,Number of EPCs with Main Heating Controls Rating of Poor
mainheatcontrol_verypoor,Number of EPCs with Main Heating Controls Rating of Very Poor
mainheatcontrol_other,Number of EPCs with Main Heating Controls Rating of Other / Missing
mainheatdesc_gasboiler,Number of EPCs with main heating description including gas boiler
mainheatdesc_oilboiler,Number of EPCs with main heating description including oil boiler
mainheatdesc_storageheater,Number of EPCs with main heating description including storage heater
mainheatdesc_portableheater,Number of EPCs with main heating description including portable heater
mainheatdesc_roomheater,Number of EPCs with main heating description including room heater
mainheatdesc_heatpump,Number of EPCs with main heating description including heat pump
mainheatdesc_community,Number of EPCs with main heating description including community heating
mainheatdesc_other,Number of EPCs with main heating description missing or not covered by above categories
mainfuel_mainsgas,Number of EPCs with main heating fuel mains gas
mainfuel_electric,Number of EPCs with main heating fuel electricity
mainfuel_oil,Number of EPCs with main heating fuel oil
mainfuel_coal,Number of EPCs with main heating fuel coal
mainfuel_lpg,Number of EPCs with main heating fuel LPG
mainfuel_biomass,Number of EPCs with main heating fuel Biomass
has_solarpv,Number of EPCs with Solar PV
has_solarthermal,Number of EPCs with Solar Thermal
T2W_WorkAtHome,Number of people who travel to work - work at home
T2W_Underground,Number of people who travel to work - Underground / Tram / Metro
T2W_Train,Number of people who travel to work -  Train
T2W_Bus,Number of people who travel to work - Bus
T2W_Taxi,Number of people who travel to work - Taxi
T2W_Motorcycle,Number of people who travel to work - Motorbike
T2W_CarOrVan,Number of people who travel to work - Car or Van
T2W_Passenger,Number of people who travel to work - Passenger in Car
T2W_Bicycle,Number of people who travel to work - Bicycle
T2W_OnFoot,Number of people who travel to work - Walk
T2W_OtherMethod,Number of people who travel to work - Other Method
T2W_pct,Percentage of people who travel to work by bike in the PCT go Dutch scenario
km_Underground,Kilometres travelled per year by people who travel to work by Underground / Tram / Metro
km_Train,Kilometres travelled per year by people who travel to work by Train
km_Bus,Kilometres travelled per year by people who travel to work by Bus
km_Taxi,Kilometres travelled per year by people who travel to work by Taxi
km_Motorcycle,Kilometres travelled per year by people who travel to work by Motorbike
km_CarOrVan,Kilometres travelled per year by people who travel to work by Car or Van
km_Passenger,Kilometres travelled per year by people who travel to work by Passenger in Car
km_Bicycle,Kilometres travelled per year by people who travel to work by Bicycle
km_OnFoot,Kilometres travelled per year by people who travel to work by Walking
km_OtherMethod,Kilometres travelled per year by people who travel to work by Other method
pHeating_None,Number of dwellings with no heating system
pHeating_Gas,Number of dwellings with gas heating
pHeating_Electric,Number of dwellings with electric heating
pHeating_Oil,Number of dwellings with oil heating
pHeating_Solid,Number of dwellings with solid fuel heating
pHeating_Other,Number of dwellings with other heating
T2S_bike,Number of children the travel to school by bike
T2S_foot,Number of children the travel to school by foot
T2S_car,Number of children the travel to school by car
T2S_other,Number of children the travel to school by other mode including public transport
T2S_pct,Number of children the travel to school by bike under the PCT Go Dutch scenario
total_kgco2e_percap,Total carbon footprint per person kgCO2e
cars_percap_grade,Grade for cars per person (A+ to F-)
km_percap_grade,Grade for kilometres driven per person per year (A+ to F-)
T2W_Car_grade,Grade for travel to work by car (A+ to F-)
T2W_Cycle_grade,Grade for travel to work by bicycle (A+ to F-)
T2W_Bus_grade,Grade for travel to work by bus (A+ to F-)
T2W_Train_grade,Grade for travel to work by train (A+ to F-)
T2W_Foot_grade,Grade for travel to work by foot (A+ to F-)
T2W_Underground_grade,Grade for travel to work by underground / tram / metro (A+ to F-)
elec_emissions_grade,Grade for electricity emissions (A+ to F-)
gas_emissions_grade,Grade for mains gas emissions (A+ to F-)
car_emissions_grade,Grade for cars emissions (A+ to F-)
total_emissions_grade,Grade for total emissions (A+ to F-)
flights_grade,Grade for flights emissions (A+ to F-)
other_heating_grade,Grade for other (non gas/electric) heating emissions (A+ to F-)
van_grade,Grade for vans emissions (A+ to F-)
consumption_all_kgco2e_percap,Combined emissions per person from food recreation goods and services
consumption_grade,Combined Grade for food recreation goods and services emissions (A+ to F-)
