"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr478","RSPB Reserves breeding bird surveys","doi:10.15468/ssn1l9","Data reproduced with the permission of RSPB","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr478","","","","11"
"dr2417","British bird study skins in the collections of World Museum, National Museums Liverpool","10.15468/tekr68","World Museum, National Museums Liverpool (2020). British bird study skins in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2417","","","","24"
"dr1967","West Wales Online Records","","West Wales Biodiversity Information Centre ([Insert year of download]). West Wales Online Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1967","","","","3"
"dr1326","RECORD Aves Data","doi:10.15468/pudf3y","Records provided by RECORD Aves Data, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email enquiry@record-lrc.co.uk, or https://registry.nbnatlas.org/public/show/dr1326","","","","1821"
"dr1327","Data from Defra Family Organisations supplied to Staffordshire Ecological Record","doi:10.15468/giebpp","Records provided by Data from Defra Family Organisations supplied to Staffordshire Ecological Record, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1327","","","","5"
"dr755","NBIS Records to December 2016","doi:10.15468/jca5lo","Records provided by NBIS Records to December 2016, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr755","","","","531"
"dr2380","Birds (BTO+partners) 2006 - 2010","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2380","","","","14558"
"dp96","BIS for Powys & Brecon Beacons National Park","","Records provided by BIS for Powys & Brecon Beacons National Park, accessed through NBN Atlas website.","","For more information:  email info@bis.org.uk, or https://registry.nbnatlas.org/public/show/dp96","","","","290"
"dr2381","Birds (BTO+partners) 2011 - 2015","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2381","","","","11617"
"dr2382","Birds (BTO+partners) 2016 - 2019","","Records provided by BTO, accessed through NBN Atlas website","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2382","","","","10950"
"dr1574","ERIC NE Combined dataset to 2017","","Records provided by ERIC NE Combined dataset to 2017, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1574","","ERIC NE Data holdings metadata avaialble at http://www.ericnortheast.org.uk/geisha/assets/images/ERIC-NE-Species-metadata.2.pdf","","297"
"dr1299","Shire Group IDB species data 2004 to present","doi:10.15468/p3ismw","Records provided by Shire Group IDB species data 2004 to present, accessed through NBN Atlas website.","Open Government Licence (OGL) OGL","For more information:  email alison.briggs@shiregroup-idbs.gov.uk, or https://registry.nbnatlas.org/public/show/dr1299","","","","1"
"dr1335","Gloucestershire Historic Wildlife Sightings prior to 1st Jan 2000","doi:10.15468/dgf5es","Records provided by Gloucestershire Historic Wildlife Sightings prior to 1st Jan 2000, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr1335","","","","102"
"dp121","Suffolk Biodiversity Information Service","","Records provided by Suffolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information:  email martin.sanford@suffolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp121","","","","432"
"dp242","World Museum, National Museums Liverpool","","Records provided by World Museum, National Museums Liverpool, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp242","","","","32"
"dp122","Natural Resources Wales","","Records provided by Natural Resources Wales, accessed through NBN Atlas website.","","For more information:  email nbnadmin@cyfoethnaturiolcymru.gov.uk, or https://registry.nbnatlas.org/public/show/dp122","","","","116"
"dp123","North East Scotland Biological Records Centre","","Records provided by North East Scotland Biological Records Centre, accessed through NBN Atlas website.","","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dp123","","","","1"
"dr1216","Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups","doi:10.15468/d3tufo","Records provided by Rotherham Biological Records Centre - Non-sensitive Records from all taxonomic groups, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email Paul.Leonard@rotherham.gov.uk, or https://registry.nbnatlas.org/public/show/dr1216","","","","7876"
"dr782","Shropshire Ecological Data Network database","doi:10.15468/5v5pvk","Shropshire Ecological Data Network ([Insert download year]). Shropshire Ecological Data Network database. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email alex.lockton@gmail.com, or https://registry.nbnatlas.org/public/show/dr782","","","","153"
"dp120","Shropshire Ecological Data Network","","Records provided by Shropshire Ecological Data Network, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp120","","","","153"
"dr703","Dorset SSSI Species Records 1952 - 2004 (Natural England)","doi:10.15468/vcjzts","Records provided by Dorset SSSI Species Records 1952 - 2004 (Natural England), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email derc@dorsetcc.gov.uk , or https://registry.nbnatlas.org/public/show/dr703","","","","5"
"dr947","Bird Records held by Greater Manchester Ecology Unit","","Records provided by Bird Records held by Greater Manchester Ecology Unit, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email suzanne.waymont@tameside.gov.uk, or https://registry.nbnatlas.org/public/show/dr947","","","","21"
"dp126","South East Wales Biodiversity Records Centre","","Records provided by South East Wales Biodiversity Records Centre, accessed through NBN Atlas website.","","For more information:  email info@sewbrec.org.uk, or https://registry.nbnatlas.org/public/show/dp126","","","","552"
"dr822","RHS monitoring of native and naturalised plants and animals at its gardens and surrounding areas","doi:10.15468/mjksef","Royal Horticultural Society ([Insert download year]). RHS monitoring of native and naturalised plants and animals at its gardens and surrounding areas. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email andrewsalisbury@rhs.org.uk, or https://registry.nbnatlas.org/public/show/dr822","","","","5"
"dr938","BRERC species records from all years at full resolution excluding Notable Species within the last 10 years","doi:10.15468/h1ln5p","Bristol Regional Environmental Records Centre ([Insert download year]). BEREC species records from all years at full resolution excluding Notable Species within the last 10 years. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) BRERC retains copyright. The data is provided via the NBN Atlas for non-commercial purposes.","For more information:  email info@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dr938","","","","10"
"dp83","Natural England","","Records provided by Natural England, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp83","","","","6"
"dr1189","Brecknock county birds records","doi:10.15468/2rd8nh","Records provided by Brecknock county birds records, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email janet@bis.org.uk, or https://registry.nbnatlas.org/public/show/dr1189","","","","192"
"dp111","Merseyside BioBank","","Records provided by Merseyside BioBank, accessed through NBN Atlas website.","","For more information:  email info@merseysidebiobank.org.uk, or https://registry.nbnatlas.org/public/show/dp111","","","","634"
"dp199","Environmental Records Information Centre North East","","Records provided by Environmental Records Information Centre North East, accessed through NBN Atlas website.","","For more information:  email eric.ne@twmuseums.org.uk, or https://registry.nbnatlas.org/public/show/dp199","","","","297"
"dp112","Isle of Wight Local Records Centre","","Records provided by Isle of Wight Local Records Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp112","","","","1"
"dp113","Ministry of Justice","","Records provided by Ministry of Justice, accessed through NBN Atlas website.","","For more information:  email Beatrice.finch@justice.gsi.gov.uk, or https://registry.nbnatlas.org/public/show/dp113","","","","1"
"dr496","Borders Backyard Biodiversity","doi:10.15468/jfymio","The Wildlife Information Centre or BRISC (depends on orginator in dataset name)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr496","","","","1"
"dp118","Norfolk Biodiversity Information Service","","Records provided by Norfolk Biodiversity Information Service, accessed through NBN Atlas website.","","For more information:  email enquiries.nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dp118","","","","531"
"dp239","Sheffield and Rotherham Wildlife Trust","","Records provided by Sheffield and Rotherham Wildlife Trust, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp239","","","","8"
"dr814","Isle of Wight Notable Species","doi:10.15468/sm4ety","Records provided by Isle of Wight Notable Species, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email lrc@iow.gov.uk, or https://registry.nbnatlas.org/public/show/dr814","","","","1"
"dr931","SEWBReC Birds (South East Wales)","doi:10.15468/qfainq","Records provided by SEWBReC Birds (South East Wales), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@sewbrec.org.uk, or https://registry.nbnatlas.org/public/show/dr931","","","","501"
"dp116","National Trust","","Records provided by National Trust, accessed through NBN Atlas website.","","For more information:  email gordon.barker@nationaltrust.org.uk, or https://registry.nbnatlas.org/public/show/dp116","","","","37"
"dp36","National Trust for Scotland","","Records provided by National Trust for Scotland, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp36","","","","3"
"dr1350","North East Scotland Birds (1883-2010)","doi:10.15468/o1okcz","Records provided by North East Scotland Birds (1883-2010), accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1350","","This dataset is only available on the NBN Atlas at 1Km resolution. Users who wish to access data at a higher resolution and/or data relating to sensitive species should contact NESBReC directly. Data searches for commercial purposes will incur a service charge by NESBReC.","","1"
"dr1193","SER Species-based Surveys","doi:10.15468/q8qen3","Records provided by SER Species-based Surveys, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email info@staffs-ecology.org.uk, or https://registry.nbnatlas.org/public/show/dr1193","","","","80"
